iter	RMSE
0	20.74898441
1	19.20541597
2	17.8351444
3	16.63001651
4	15.66135239
5	14.74718116
6	13.95502741
7	13.32481841
8	12.75394179
9	12.26152228
10	11.71663904
11	11.2347989
12	10.90561518
13	10.51538448
14	10.22584796
15	10.01948397
16	9.753721302
17	9.567779019
18	9.341960235
19	9.135009578
20	8.979802287
21	8.858082293
22	8.684875012
23	8.561380983
24	8.418618933
25	8.278923546
26	8.225542613
27	8.134300366
28	8.009777921
29	7.909705442
30	7.798976852
31	7.721139373
32	7.661380049
33	7.555688619
34	7.422618313
35	7.304075952
36	7.237645529
37	7.198560903
38	7.07684622
39	6.971575187
40	6.904068816
41	6.811829877
42	6.746455083
43	6.681711858
44	6.638832978
45	6.542290659
46	6.474373047
47	6.421613922
48	6.37611105
49	6.339129094
50	6.286352384
51	6.192857048
52	6.111851105
53	6.063882682
54	6.034686252
55	6.008538681
56	5.961823522
57	5.891193532
58	5.829819112
59	5.742871186
60	5.708097883
61	5.631978608
62	5.614087675
63	5.574447826
64	5.544980356
65	5.530137559
66	5.497043187
67	5.452473046
68	5.401152926
69	5.356764273
70	5.317597004
71	5.273653276
72	5.226909009
73	5.19318622
74	5.168916889
75	5.141511307
76	5.112068287
77	5.054605611
78	5.006222057
79	4.981508053
80	4.950930399
81	4.916954459
82	4.895651089
83	4.848630415
84	4.836677928
85	4.806895061
86	4.776608788
87	4.75331036
88	4.714774883
89	4.672011723
90	4.637007845
91	4.615097875
92	4.59809596
93	4.563777365
94	4.541344445
95	4.501844322
96	4.486285566
97	4.476571308
98	4.437315675
99	4.420536423
100	4.399513383
101	4.38509246
102	4.359581959
103	4.336204043
104	4.288201183
105	4.264640223
106	4.222606241
107	4.191768052
108	4.16440588
109	4.121410865
110	4.09499802
111	4.064359182
112	4.040615958
113	4.028688353
114	4.011707029
115	3.983284099
116	3.968708553
117	3.949473366
118	3.922279119
119	3.915022727
120	3.878414455
121	3.857697686
122	3.838777661
123	3.820666239
124	3.805364022
125	3.779348794
126	3.768890138
127	3.751871414
128	3.730441194
129	3.704041283
130	3.69007803
131	3.685089755
132	3.661176492
133	3.639613346
134	3.613009701
135	3.590891412
136	3.57203574
137	3.546980889
138	3.538597074
139	3.529241344
140	3.503910308
141	3.49137999
142	3.44936884
143	3.428835009
144	3.402003262
145	3.39090876
146	3.36003052
147	3.3407384
148	3.321495843
149	3.305151465
150	3.285345582
151	3.261865362
152	3.242946241
153	3.224379626
154	3.213108835
155	3.194959535
156	3.191650224
157	3.159848888
158	3.143946441
159	3.123583617
160	3.108805919
161	3.098518252
162	3.095904749
163	3.081197086
164	3.069030024
165	3.056438897
166	3.031539149
167	3.029045173
168	3.008422787
169	2.996359016
170	2.996150734
171	2.996134044
172	2.983072944
173	2.965501846
174	2.9563413
175	2.956314162
176	2.931236095
177	2.924193128
178	2.913051765
179	2.907277614
180	2.897589919
181	2.888111603
182	2.875549288
183	2.871644666
184	2.861106244
