iter	Passed	Remaining
0	55	55353
1	113	56600
2	168	55968
3	221	55100
4	272	54239
5	325	53864
6	382	54260
7	435	54054
8	500	55084
9	574	56882
10	654	58836
11	711	58542
12	764	58078
13	817	57556
14	870	57159
15	921	56702
16	972	56232
17	1025	55968
18	1078	55677
19	1137	55728
20	1194	55665
21	1262	56108
22	1328	56413
23	1387	56404
24	1439	56130
25	1491	55873
26	1542	55574
27	1594	55342
28	1646	55117
29	1698	54909
30	1750	54714
31	1802	54528
32	1855	54380
33	1908	54212
34	1959	54036
35	2012	53895
36	2065	53751
37	2117	53604
38	2170	53491
39	2231	53551
40	2299	53794
41	2365	53962
42	2420	53872
43	2472	53724
44	2524	53579
45	2576	53439
46	2629	53311
47	2680	53168
48	2733	53047
49	2786	52945
50	2838	52816
51	2890	52695
52	2942	52571
53	2994	52454
54	3047	52367
55	3099	52246
56	3152	52151
57	3204	52049
58	3258	51966
59	3311	51879
60	3363	51781
61	3415	51672
62	3467	51567
63	3522	51518
64	3575	51436
65	3627	51329
66	3688	51357
67	3757	51502
68	3825	51614
69	3887	51653
70	3941	51567
71	3992	51461
72	4045	51369
73	4097	51270
74	4149	51178
75	4203	51105
76	4257	51034
77	4309	50939
78	4362	50861
79	4416	50791
80	4468	50694
81	4519	50601
82	4572	50515
83	4625	50445
84	4687	50456
85	4758	50572
86	4823	50617
87	4876	50535
88	4930	50471
89	4982	50379
90	5035	50296
91	5087	50210
92	5139	50120
93	5190	50029
94	5241	49932
95	5293	49844
96	5344	49757
97	5396	49671
98	5449	49595
99	5501	49514
100	5553	49432
101	5605	49353
102	5657	49267
103	5708	49183
104	5760	49104
105	5812	49023
106	5867	48970
107	5934	49016
108	6013	49155
109	6081	49204
110	6132	49116
111	6185	49041
112	6237	48957
113	6288	48872
114	6340	48793
115	6392	48718
116	6444	48639
117	6497	48568
118	6549	48484
119	6601	48408
120	6653	48335
121	6705	48254
122	6756	48171
123	6807	48091
124	6859	48018
125	6919	47998
126	6970	47916
127	7023	47849
128	7075	47771
129	7126	47690
130	7177	47612
131	7229	47536
132	7280	47461
133	7332	47389
134	7384	47313
135	7435	47234
136	7486	47159
137	7540	47098
138	7591	47021
139	7643	46954
140	7695	46884
141	7747	46813
142	7799	46741
143	7852	46675
144	7903	46601
145	7954	46531
146	8006	46458
147	8059	46393
148	8111	46330
149	8163	46258
150	8214	46186
151	8266	46118
152	8318	46048
153	8369	45978
154	8420	45902
155	8471	45830
156	8522	45760
157	8573	45690
158	8626	45629
159	8677	45557
160	8739	45541
161	8790	45471
162	8842	45406
163	8893	45336
164	8946	45273
165	8998	45211
166	9050	45145
167	9101	45073
168	9155	45019
169	9206	44950
170	9258	44885
171	9283	44690
172	9334	44624
173	9386	44560
174	9437	44493
175	9490	44431
176	9541	44365
177	9594	44305
178	9648	44251
179	9700	44188
180	9752	44130
181	9806	44074
182	9863	44035
183	9917	43982
184	9974	43942
185	10030	43895
186	10082	43833
187	10133	43769
188	10187	43713
189	10238	43649
190	10290	43586
191	10309	43384
192	10360	43322
193	10411	43257
194	10463	43194
195	10515	43133
196	10565	43066
197	10617	43004
198	10667	42939
199	10719	42878
200	10771	42819
201	10822	42755
202	10874	42693
203	10925	42631
204	10977	42571
205	11030	42517
206	11083	42458
207	11135	42399
208	11186	42337
209	11238	42279
210	11258	42099
211	11309	42036
212	11333	41873
213	11383	41810
214	11434	41748
215	11452	41569
216	11503	41506
217	11553	41445
218	11605	41386
219	11620	41199
220	11670	41138
221	11721	41078
222	11773	41024
223	11826	40970
224	11878	40914
225	11929	40854
226	11982	40804
227	12034	40748
228	12086	40692
229	12138	40635
230	12189	40579
231	12241	40524
232	12295	40473
233	12346	40417
234	12398	40360
235	12449	40301
236	12500	40245
237	12551	40185
238	12602	40128
239	12655	40074
240	12706	40018
241	12758	39962
242	12809	39905
243	12826	39741
244	12877	39685
245	12891	39511
246	12943	39457
247	12967	39319
248	13021	39272
249	13032	39097
250	13087	39053
251	13144	39014
252	13161	38859
253	13215	38813
254	13270	38769
255	13324	38725
256	13361	38630
257	13416	38584
258	13432	38430
259	13485	38382
260	13538	38333
261	13557	38188
262	13608	38135
263	13661	38086
264	13713	38035
265	13764	37981
266	13815	37928
267	13867	37877
268	13921	37830
269	13974	37782
